,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
26236,1203102148,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295767980,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1990-07-03,3.0,7.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295767980,,,,CC_BY_4_0,,obsr54836,,,2024-04-17T09:06:55.194Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
26370,1203099287,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295768331,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1990-06-02,2.0,6.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295768331,,,,CC_BY_4_0,,obsr54836,,,2024-04-17T09:07:22.238Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
26419,1203099235,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295767948,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1990-06-14,14.0,6.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295767948,,,,CC_BY_4_0,,obsr54836,,,2024-04-17T08:46:17.998Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
26526,1203096516,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295768970,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,3.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1990-06-04,4.0,6.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295768970,,,,CC_BY_4_0,,obsr54836,,,2024-04-17T09:50:56.278Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
26534,1203096508,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295768638,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,2.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1990-06-06,6.0,6.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295768638,,,,CC_BY_4_0,,obsr54836,,,2024-04-17T08:45:33.715Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
26558,1203096484,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295768283,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,2.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1990-05-26,26.0,5.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295768283,,,,CC_BY_4_0,,obsr54836,,,2024-04-17T08:54:50.530Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
26647,1203095069,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295768241,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,2.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1990-07-05,5.0,7.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295768241,,,,CC_BY_4_0,,obsr54836,,,2024-04-17T08:46:51.168Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
26718,1203093618,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295768201,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1990-05-29,29.0,5.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295768201,,,,CC_BY_4_0,,obsr54836,,,2024-04-17T09:50:42.775Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
26728,1203092239,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295768914,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1990-07-15,15.0,7.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295768914,,,,CC_BY_4_0,,obsr54836,,,2024-04-17T08:24:18.511Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
26752,1203092214,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295768557,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,2.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1990-06-05,5.0,6.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295768557,,,,CC_BY_4_0,,obsr54836,,,2024-04-17T09:51:46.861Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
