species,count
Terminalia hylodendron,9
Warneckea golaensis,9
Arthroleptis poecilonotus,9
Smilax anceps,9
Calpocalyx brevibracteatus,9
Culcasia glandulosa,9
Iodes liberica,9
Olax gambecola,9
Leptaspis zeylanica,9
Macaranga hurifolia,9
Mormyrus rume,9
Uncaria africana,9
Cissus diffusiflora,9
Dioscorea mangenotiana,9
Ficus vogeliana,9
Turraea adjanohounii,9
Campylospermum sulcatum,9
Bertiera racemosa,9
Spaniolepis agilis,9
Coffea mannii,9
Ptychadena bibroni,9
Voacanga caudiflora,9
Craterispermum caudatum,9
Canirallus oculeus,9
Antidesma oblongum,9
Dendropicos lugubris,9
Adiantum vogelii,9
Labeo coubie,9
Dichapetalum heudelotii,9
Griffonia simplicifolia,9
Landolphia nitidula,9
Palisota hirsuta,9
Ixora laxiflora,9
Lemniscomys striatus,9
Vidua macroura,9
Egretta garzetta,9
Warneckea guineensis,9
Coula edulis,9
Hugonia afzelii,9
Calyptomyrmex kaurus,9
Discoclaoxylon hexandrum,9
Trichoscypha baldwinii,9
Chassalia kolly,8
Grossera vignei,8
Scytopetalum tieghemii,8
Isolona campanulata,8
Uncaria talbotii,8
Mareya micrantha,8
Anthonotha macrophylla,8
Cephalophus zebra,8
Hyemoschus aquaticus,8
Epiplatys fasciolatus,8
Lychnodiscus dananensis,8
Staurogyne capitata,8
Prosopocoilus senegalensis,8
Rinorea welwitschii,8
Crossarchus obscurus,8
Raphia hookeri,8
Octolepis casearia,8
Enteromius inaequalis,8
Sabicea ferruginea,8
Culcasia seretii,8
Quelea erythrops,8
Uvariastrum pierreanum,8
Turtur afer,8
Garcinia epunctata,8
Merops pusillus,8
Motandra paniculata,8
Elytraria marginata,8
Streptogyna crinita,8
Hydrocynus forskahlii,8
Sarcophrynium brachystachyum,8
Arthropteris palisotii,8
Necepsia afzelii,8
Geophila afzelii,8
Pheidole megacephala,8
Triplophyllum pilosissimum,8
Epomops buettikoferi,8
Camaroptera superciliaris,8
Ploceus albinucha,8
Dalbergia saxatilis,8
Duguetia staudtii,8
Nannocharax fasciatus,8
Lankesteria elegans,8
Dalbergia oblongifolia,8
Calopogonium mucunoides,8
Sida acuta,8
Ageratum conyzoides,8
Mesotopus tarandus,8
Lovoa trichilioides,8
Labeo parvus,7
Anomalurus pelii,7
Parmoptila rubrifrons,7
Civettictis civetta,7
Lasiodiscus mildbraedii,7
Gloriosa superba,7
Paratrechina lepida,7
Cyperus fertilis,7
Afrocayratia debilis,7
Ceratocentrus spinicornis,7
Landolphia hirsuta,7
Stanfieldiella imperforata,7
Morinda longiflora,7
Falco biarmicus,7
Lophira alata,7
Xylopia parviflora,7
Piptostigma fugax,7
Onthophagus fuscatus,7
Macaranga barteri,7
Ficus natalensis,7
Strychnos cuminodora,7
Dichapetalum albidum,7
Pycnocoma macrophylla,7
Oldfieldia africana,7
Massularia acuminata,7
Hirundo nigrita,7
Ispidina picta,7
Uapaca heudelotii,7
Leptopelis spiritusnoctis,7
Alchornea cordifolia,7
Campephaga quiscalina,7
Chytranthus angustifolius,7
Clivina dumolinii,7
Nandinia binotata,7
Diospyros soubreana,7
Monomorium cryptobium,7
Paraparatrechina weissi,7
Uvariopsis guineensis,7
Uvaria baumannii,7
Chassalia afzelii,7
Rytigynia canthioides,7
Neolebias unifasciatus,7
Hemidactylus fasciatus,7
Ardeola ralloides,7
Ancistrocladus abbreviatus,7
Crocidura jouvenetae,7
Sericanthe toupetou,7
Landolphia owariensis,7
Trichostachys aurea,7
Combretum grandiflorum,7
Millettia zechiana,7
Dorylus gribodoi,7
Mendoncia combretoides,7
Rothmannia longiflora,7
Casinycteris ophiodon,7
Desplatsia chrysochlamys,7
Guaduella oblonga,7
Drypetes gilgiana,7
Aidia genipiflora,7
Amnirana parva,7
Desplatsia subericarpa,7
Synodontis koensis,7
Diospyros sanza-minika,7
Tetramorium muralti,7
Ficus sur,7
Sida linifolia,7
Halopegia azurea,7
Anochetus katonae,7
Sabicea calycina,7
Microcarbo africanus,7
Funisciurus pyrropus,7
Rhigiocarya racemifera,7
Atherurus africanus,7
Geophila obvallata,7
Cephalophus jentinki,7
Cyathula prostrata,7
Cyanthillium stelluliferum,7
Oecophylla longinoda,7
Camponotus maculatus,7
Muscicapa caerulescens,7
Newtonia duparquetiana,7
Cnestis ferruginea,7
Bridelia grandis,7
Hoslundia opposita,7
Rhinacanthus obtusifolius,6
Calpocalyx aubrevillei,6
Salacighia letestuana,6
Tringa ochropus,6
Panthera pardus,6
Onthophagus denudatus,6
Leptopelis occidentalis,6
Campylospermum glaberrimum,6
Elytraria ivorensis,6
Uapaca pynaertii,6
Distemonanthus benthamianus,6
Costus aureus,6
Culcasia scandens,6
Ficus barteri,6
Chytranthus carneus,6
Sisyphus arboreus,6
Probolomyrmex guineensis,6
Calycobolus africanus,6
Sacoglottis gabonensis,6
Entada gigas,6
Cnestis corniculata,6
Sarothrura elegans,6
Microdaceton tibialis,6
Landolphia micrantha,6
Onthophagus alluaudi,6
Cinnyris batesi,6
Acanthixalus sonjae,6
Trichoscypha barbata,6
Olyra latifolia,6
Agrilus granulosus,6
Nycteris grandis,6
Berlinia occidentalis,6
Ptisana fraxinea,6
Baissea zygodioides,6
Landolphia dulcis,6
Chromidotilapia cavalliensis,6
Pycnocoma angustifolia,6
Bulbophyllum falcatum,6
Hypsignathus monstrosus,6
Abelmoschus caillei,6
Memecylon afzelii,6
Gambeya taiensis,6
Psychotria gabonica,6
Uvaria gabonensis,6
Gaertnera cooperi,6
Rourea solanderi,6
Dioscoreophyllum volkensii,6
Strychnos nigritana,6
Strychnos icaja,6
Manniophyton fulvum,6
Malimbus ballmanni,6
Platysepalum hirsutum,6
Campylospermum reticulatum,6
Hypselodelphys violacea,6
Pyrenestes sanguineus,6
Pollia condensata,6
Placodiscus attenuatus,6
Acridocarpus longifolius,6
Ricinoides megahanseni,6
Tragelaphus scriptus,6
Millettia rhodantha,6
Xylopia aethiopica,6
Adenia cissampeloides,6
Syncerus caffer,6
Microdesmis keayana,6
Galagoides demidoff,6
Aningeria pierrei,6
Hylochoerus meinertzhageni,6
Lankesteria brevior,6
Cephalophus silvicultor,6
Cola heterophylla,6
Cercestis afzelii,6
Trichoscypha smythei,6
Raiamas nigeriensis,6
Nauclea diderrichii,6
Rinorea ilicifolia,6
Palisota barteri,6
Petrocephalus bovei,6
Grammomys buntingi,6
Aneilema umbrosum,6
Rhabdophyllum affine,6
Aubrevillea platicarpa,6
Anochetus ambiguus,6
Dracaena surculosa,6
Setaria parviflora,5
Synodontis punctifer,5
Malaconotus cruentus,5
Schizachyrium sanguineum,5
Neostenanthera hamata,5
Anochetus siphneus,5
Aporrhiza urophylla,5
Baissea leonensis,5
Lagenaria guineensis,5
Xerus erythropus,5
Ploceus castaneofuscus,5
Grayia smithii,5
Psorospermum guineense,5
Ficus saussureana,5
Nylanderia umbella,5
Monomorium rosae,5
Trichoscypha arborea,5
Annea afzelii,5
Anthonotha fragrans,5
Dioscorea burkilliana,5
Phrynoponera gabonensis,5
Costus dubius,5
Osteolaemus tetraspis,5
Dialium polyanthum,5
Cercestis dinklagei,5
Marcusenius senegalensis,5
Hypolytrum heteromorphum,5
Pyrrhochalcia iphis,5
Culcasia parviflora,5
Monodora myristica,5
Lamprotornis splendidus,5
Lomariopsis palustris,5
Pseudomacronychus scutellatus,5
Rhigiocarya peltata,5
Distichus gagatinus,5
Pandinus imperator,5
Harrisonia abyssinica,5
Solanum erianthum,5
Sclerophrys togoensis,5
Dactyladenia barteri,5
Enteromius macrops,5
Ficus sansibarica,5
Tetramorium flavithorax,5
Stephania dinklagei,5
